,userid,following
290,290,"[164, 253, 1405, 208, 3598, 201, 566, 640, 3975, 197, 1015, 1146, 199, 3867, 421, 589, 3141, 33, 309, 3277, 574, 4203, 522, 1014, 5141, 594, 3462, 2289, 92, 3864, 3278, 3146, 311]"
291,291,"[2579, 402, 6, 88, 83, 607, 432, 564, 434, 400, 1111, 292, 2357, 3308, 115, 166, 110, 321, 3311, 566, 4880, 208, 3276, 544, 463, 196, 165, 101, 483, 3962, 302, 2239, 4223, 418, 282, 2292, 3141, 3825, 33, 3153, 309, 2279, 654, 522, 244, 429, 4394, 3867, 454, 589, 308, 3277, 62, 413, 2216, 391, 2289, 16, 2295, 3462, 5240, 3140, 507, 10, 86, 2274, 3754, 512, 594, 673, 2333, 3146, 3278, 3115]"
292,292,[207]
293,293,[]
294,294,[]
295,295,[]
296,296,[]
297,297,[]
298,298,[]
299,299,"[589, 645, 254, 612, 432, 2289, 561, 88]"
300,300,[404]
301,301,"[253, 402, 652, 682, 526, 432, 3273, 165, 539, 713, 391, 3308, 282, 143, 33, 76, 4252, 4277, 179, 616, 4719, 693, 3146, 594, 212, 121]"
302,302,[4963]
303,303,"[3335, 164, 4565, 3160, 166, 432, 253, 295, 1405, 598, 201, 328, 677, 4008, 242, 88, 117, 110, 3465, 3308, 56, 35, 3963, 4271, 434, 55, 262, 165, 645, 46, 252, 4268, 3469, 3827, 2239, 3867, 423, 656, 544, 318, 320, 62, 202, 2330, 51, 3481, 712, 2307, 11, 589, 2366, 4520, 244, 2278, 3151, 33, 199, 683, 226, 391, 457, 3463, 2289, 283, 3462, 311, 3113, 630, 594, 2274, 512, 2541, 3751, 456, 561]"
304,304,[]
305,305,"[253, 646, 630, 561, 432, 208, 4594, 88, 645, 2289, 612]"
306,306,"[253, 645, 670, 241, 3157, 208]"
307,307,"[208, 4505]"
308,308,"[328, 115, 413, 3146, 402, 282, 683, 3462, 88, 33, 417, 3278, 3308, 454, 594, 3754]"
309,309,"[535, 858, 340, 175, 845, 306, 2263, 534, 253, 640, 473, 91, 644, 2546, 526, 356, 3995, 670, 44, 607, 4272, 5128, 3188, 166, 1405, 146, 555, 328, 679, 3102, 5304, 164, 3296, 4008, 181, 50, 4212, 2280, 4641, 2302, 432, 201, 402, 292, 4718, 110, 5294, 183, 260, 3743, 2270, 220, 1102, 2288, 2275, 4053, 88, 6, 2357, 2266, 4509, 80, 3158, 3273, 3308, 358, 3984, 2341, 434, 1185, 3116, 4583, 321, 400, 3311, 3962, 646, 530, 115, 463, 153, 3974, 388, 3318, 249, 239, 262, 571, 305, 302, 497, 246, 690, 4277, 2224, 4505, 585, 692, 3307, 493, 657, 208, 282, 3274, 4271, 165, 428, 394, 49, 101, 4267, 2268, 3276, 3964, 231, 449, 179, 3844, 197, 2339, 1142, 2292, 3872, 483, 645, 3867, 3469, 622, 574, 528, 539, 4268, 654, 280, 276, 462, 616, 461, 4742, 675, 124, 525, 301, 2330, 290, 3466, 33, 522, 454, 287, 244, 691, 930, 683, 981, 43, 413, 3153, 589, 347, 222, 2307, 676, 2278, 560, 241, 3277, 2216, 547, 339, 2265, 546, 308, 391, 693, 2289, 417, 254, 2308, 507, 281, 1201, 286, 426, 630, 495, 4866, 121, 512, 5093, 3847, 594, 212, 3146, 86, 3278, 353, 3462, 673, 352, 3113, 2367, 344, 5082, 2373, 3759, 129, 422, 508, 40, 612, 4198, 3754, 456, 47, 561]"
310,310,"[253, 2241, 33, 3323, 88]"
311,311,"[253, 164, 677, 2302, 652, 526, 166, 402, 183, 3995, 607, 1405, 432, 2357, 4272, 598, 88, 358, 189, 3984, 359, 115, 321, 285, 364, 501, 418, 249, 684, 3117, 3826, 262, 237, 208, 4188, 500, 497, 367, 379, 608, 282, 3872, 37, 368, 3982, 4268, 179, 1034, 318, 2243, 645, 404, 143, 2287, 211, 280, 187, 631, 207, 2327, 322, 713, 2285, 616, 482, 2282, 4203, 595, 199, 2342, 589, 2278, 244, 676, 429, 510, 406, 308, 3481, 691, 391, 2279, 2289, 2368, 4964, 241, 504, 3105, 630, 5141, 507, 495, 2265, 549, 281, 532, 3985, 191, 426, 86, 3115, 594, 3108, 3146, 286, 369, 661, 312, 3113, 586, 129, 353, 612]"
312,312,"[253, 267, 528, 607, 501, 276, 378, 432, 208, 2289, 507, 612, 2290]"
313,313,"[2289, 612, 2206]"
314,314,[]
315,315,"[253, 101, 404, 4584, 544, 1451, 645, 1072, 288, 1158, 310, 2289]"
316,316,"[253, 2331, 2289, 2227, 589]"
317,317,"[253, 2234]"
318,318,[]
319,319,"[3459, 6763, 2312, 244, 3311, 262]"
320,320,[302]
321,321,"[687, 201, 253, 183, 88, 432, 2357, 249, 2266, 400, 262, 4277, 438, 589, 208, 33, 4719, 2289, 137, 413, 391, 630, 244, 296, 495, 1037, 561]"
322,322,"[535, 607, 652, 526, 717, 328, 253, 679, 356, 3849, 682, 292, 201, 220, 3877, 4197, 4503, 402, 3110, 2357, 4206, 432, 3763, 316, 359, 189, 314, 3311, 684, 249, 208, 184, 262, 2224, 364, 4188, 501, 3117, 3307, 282, 3982, 493, 544, 379, 3872, 608, 2548, 602, 3867, 404, 270, 280, 4399, 2285, 5345, 421, 4203, 2300, 631, 202, 4185, 595, 626, 616, 207, 4499, 2305, 244, 429, 274, 251, 241, 2222, 510, 406, 2286, 5143, 2265, 507, 149, 3108, 3146, 2289, 2371, 532, 3105, 54, 4204, 311, 586, 3113, 317, 612, 489, 3985, 288]"
323,323,[2289]
324,324,[]
325,325,"[501, 432, 249, 2289]"
326,326,"[253, 157, 184, 616, 347, 607, 432, 680, 595, 308, 493, 222, 2279, 2282, 241, 2309, 651]"
327,327,[]
328,328,"[598, 3308, 249, 631, 3347, 33, 3102, 4194, 222, 183, 400, 454, 2286, 2279, 3462, 691, 3320, 2367, 429, 3277, 3108, 308, 5141, 3146, 456]"
329,329,[]
330,330,"[3109, 4398]"
331,331,"[619, 402, 3273, 3311, 165, 526, 432, 257, 381, 282, 2321, 788, 3308, 249, 101, 3157, 88, 115, 315, 2292, 483, 632, 2289, 3462, 38, 636, 33, 121, 86, 3867, 429, 2274, 2520, 391, 3146, 2333]"
332,332,[]
333,333,"[88, 867, 3308, 3462, 3117, 208]"
334,334,"[2358, 2790, 1111, 1470, 589, 88, 2239, 4707, 165, 2782, 2789]"
335,335,[]
336,336,[253]
337,337,[]
338,338,"[253, 4501]"
339,339,"[253, 165, 2289, 526, 3276, 2216, 607, 249, 3867, 308, 594, 432, 208, 391, 3146, 612]"
340,340,"[308, 2313, 241, 594, 2357, 645, 523, 2289]"
341,341,[645]
342,342,"[253, 821, 645]"
343,343,[]
344,344,[]
345,345,[]
346,346,"[619, 432, 201, 253, 607, 378, 181, 526, 4231, 4589, 302, 4277, 249, 208, 179, 262, 282, 143, 501, 645, 3349, 207, 33, 2216, 322, 1609, 244, 327, 42, 595, 2454, 589, 676, 241, 507, 2265, 2173, 460, 2289, 3146, 612]"
347,347,"[262, 1226, 326, 165, 241, 495, 88, 3688, 2373, 561]"
348,348,"[253, 432, 115, 193, 3150, 3311, 430, 88, 3308, 3763, 555, 2352, 4111, 208, 645, 217, 2289, 426, 413, 630, 3847, 2360, 3153, 1201, 882, 4400, 594, 3113]"
349,349,[2279]
350,350,[]
351,351,[]
352,352,[]
353,353,"[253, 432, 250, 501, 528, 201, 262, 645, 2289, 612, 507]"
354,354,"[2289, 3108, 249, 404, 612]"
355,355,[]
356,356,"[432, 164, 3986, 3157, 253, 617, 183, 2312, 350, 689, 2331, 5309, 3161, 409, 249, 692, 493, 654, 262, 501, 208, 3276, 645, 404, 244, 528, 322, 697, 556, 683, 8, 3996, 589, 217, 308, 2289, 5186, 2216, 96, 507, 241, 594, 4511, 72, 2274, 59, 612]"
357,357,[]
358,358,[438]
359,359,"[858, 361, 253, 234, 225, 378, 3995, 432, 283, 33, 369, 3105, 509, 589, 630, 612]"
360,360,[]
361,361,"[645, 561, 359, 311]"
362,362,"[253, 262, 645, 2289, 432]"
363,363,"[208, 2289, 432, 2224, 244, 507, 3103, 2274, 690, 4951]"
364,364,"[253, 322, 208, 1839, 526, 2289, 402]"
365,365,"[253, 201, 645, 164, 2357, 3867, 1405, 234, 432, 217, 2289, 2282, 630, 612, 594, 2325, 4193, 561]"
366,366,"[3464, 391, 319, 2206]"
367,367,[326]
368,368,"[2263, 644, 3995, 2284, 2223, 91, 174, 146, 267, 28, 4196, 679, 3319, 2225, 2331, 358, 182, 250, 249, 590, 501, 210, 262, 252, 2250, 645, 362, 2227, 509, 5132, 2272, 254, 3472, 5228, 2308, 549, 468, 5093, 353, 467]"
369,369,"[253, 91, 201, 477, 402, 432, 3308, 231, 359, 262, 602, 501, 528, 4203, 609, 322, 2207, 429, 2279, 594, 421, 289, 391, 2289, 86]"
370,370,[]
371,371,"[594, 208, 33, 1199, 612, 2289]"
372,372,[]
373,373,[1454]
374,374,[]
375,375,[]
376,376,[]
377,377,[]
378,378,"[115, 241]"
379,379,"[253, 201, 262, 322, 208, 461, 33, 432, 391, 594, 2289, 3105, 612]"
380,380,[]
381,381,[]
382,382,"[3502, 2291]"
383,383,[]
384,384,[]
385,385,[]
386,386,"[513, 253, 3308, 88, 115, 634, 3311]"
387,387,[]
388,388,[110]
389,389,[]
390,390,[]
391,391,"[670, 2579, 3148, 5136, 253, 4487, 3849, 4011, 234, 303, 5128, 3102, 3157, 3109, 4565, 164, 201, 30, 402, 36, 2748, 331, 105, 4212, 397, 1363, 183, 3998, 3158, 2252, 2266, 88, 200, 3984, 193, 4692, 162, 6, 634, 3308, 1631, 6752, 291, 34, 646, 1058, 83, 1615, 3209, 400, 115, 566, 184, 1277, 4426, 3763, 4276, 60, 3761, 4223, 17, 55, 302, 587, 3272, 3144, 3547, 208, 165, 3183, 4728, 248, 4271, 262, 237, 2224, 493, 379, 3161, 3179, 3775, 282, 3276, 197, 101, 4363, 231, 2292, 574, 1199, 2239, 465, 2389, 3844, 2233, 270, 528, 179, 544, 3790, 4763, 3867, 539, 5105, 3466, 4282, 276, 461, 3830, 4758, 631, 2586, 525, 1189, 3777, 3173, 1581, 3153, 676, 2551, 3798, 876, 207, 33, 454, 2282, 1919, 522, 2286, 1464, 2278, 241, 865, 429, 2510, 554, 968, 308, 3277, 2289, 417, 251, 2279, 3105, 967, 495, 479, 191, 4307, 630, 4707, 10, 3146, 2295, 594, 3108, 3462, 2367, 1643, 2274, 451, 2211, 3463, 4485, 3329, 3278, 469, 3751, 369, 529, 311, 3140, 3152, 422, 1764, 456, 3601, 567, 3754, 612, 140, 561, 2333, 2364]"
392,392,"[607, 432, 2289, 2736, 281, 88]"
393,393,"[175, 356, 432, 434, 253, 526, 679, 3308, 44, 677, 88, 473, 402, 3311, 2331, 3153, 3318, 101, 645, 616, 302, 231, 494, 33, 589, 208, 2268, 454, 676, 391, 507, 330, 1683, 241, 512, 3847, 2325, 2265, 2289, 594, 352]"
394,394,"[646, 589, 432, 87, 241, 2357, 2282, 594]"
395,395,"[253, 2312, 432, 645, 241, 409, 594]"
396,396,[]
397,397,"[253, 391, 262, 193, 208]"
398,398,[]
399,399,[253]
400,400,"[3995, 166, 88, 3308, 3763, 432, 3158, 3761, 3157, 4502, 115, 328, 4277, 1133, 33, 208, 101, 631, 3153, 3872, 2282, 391, 289, 241, 2371, 4207, 5140, 2289, 1048, 612, 507, 3864, 495, 3462, 3142]"
401,401,[]
402,402,"[526, 184, 528, 282, 5128, 201, 631, 115, 421, 244, 5082, 308, 2207, 3153]"
403,403,[]
404,404,"[507, 5082, 640, 3308, 121, 612, 3157, 500, 183, 4267]"
405,405,"[88, 3469, 495, 86]"
406,406,"[253, 2289]"
407,407,"[253, 616, 630, 2666, 626]"
408,408,"[146, 3319, 485, 3102, 2488, 3308, 248, 166, 271, 432, 88, 2331, 478, 2289, 129, 2206, 33, 3146]"
409,409,"[3157, 270, 2220, 88, 3276, 395, 241, 3308, 197, 4267, 495]"
410,410,"[199, 422]"
411,411,[253]
412,412,[]
413,413,"[619, 3519, 128, 603, 607, 5185, 601, 670, 2315, 584, 2445, 2332, 2328, 2351, 3148, 253, 526, 267, 477, 3102, 606, 3482, 402, 598, 4192, 4397, 682, 292, 3157, 164, 4565, 432, 4404, 328, 166, 50, 3194, 788, 181, 543, 3743, 2398, 5293, 110, 5190, 227, 291, 564, 88, 3116, 434, 3273, 2357, 3502, 3158, 3150, 3308, 358, 83, 3311, 3962, 3318, 229, 153, 566, 381, 1058, 3974, 2255, 2331, 321, 115, 285, 305, 196, 56, 262, 367, 266, 4188, 3870, 501, 1246, 208, 4046, 3309, 3758, 418, 2224, 690, 249, 248, 90, 4214, 2241, 437, 282, 101, 142, 165, 78, 3274, 3190, 493, 428, 3276, 231, 974, 3775, 106, 120, 2339, 2268, 544, 2239, 209, 408, 654, 3872, 3141, 3825, 3793, 527, 483, 636, 645, 270, 392, 4268, 574, 3469, 516, 3101, 320, 127, 62, 3471, 404, 4399, 46, 4410, 3867, 2394, 4254, 111, 3765, 276, 264, 395, 382, 632, 4275, 33, 454, 674, 244, 207, 697, 2286, 683, 482, 43, 3107, 3153, 3330, 595, 287, 2282, 4251, 589, 510, 144, 313, 25, 3306, 691, 2216, 429, 676, 3496, 517, 417, 3155, 39, 347, 2329, 309, 2272, 444, 391, 3846, 693, 4394, 308, 2279, 834, 707, 3859, 560, 371, 241, 663, 1033, 349, 455, 2265, 4006, 326, 2289, 512, 479, 594, 3320, 507, 54, 3755, 2254, 281, 495, 5303, 442, 198, 363, 2295, 4285, 5093, 212, 426, 365, 2367, 673, 311, 169, 3146, 333, 3278, 443, 2290, 3462, 2373, 3463, 2274, 3847, 369, 86, 414, 3115, 352, 3140, 348, 3485, 353, 6988, 3168, 93, 508, 317, 387, 422, 2333, 113]"
414,414,[266]
415,415,[]
416,416,[208]
417,417,"[253, 3308, 668, 402, 400, 418, 3995, 432, 88, 4867, 670, 115, 208, 165, 1255, 43, 2286, 308, 4505, 544, 222, 2282, 391, 616, 454, 589, 241, 197, 33, 413, 309, 2265, 3277, 594, 3278, 2289, 419, 456, 5093, 2594, 3462]"
418,418,"[4911, 3157, 208, 595, 4203, 260, 5301, 179, 322, 1176, 2216, 2289, 3462, 417, 3824, 2274, 308, 391, 442]"
419,419,"[253, 3512, 115, 381, 3311, 692, 49, 432, 88, 2331, 208, 3426, 393, 3318, 4271, 231, 187, 522, 3153, 323, 3867, 3497, 341, 544, 207, 287, 676, 3872, 320, 33, 390, 2278, 712, 308, 627, 369, 1642, 309, 4042, 2289, 417, 2265, 507, 429, 594, 104, 353, 451]"
420,420,"[432, 594]"
421,421,"[432, 253, 607, 201, 402, 2357, 249, 4271, 645, 322, 262, 179, 528, 202, 501, 1034, 2282, 208, 522, 244, 5093, 3111, 612, 369, 561, 495]"
422,422,"[253, 526, 110, 670, 5128, 255, 3157, 201, 2356, 88, 154, 493, 135, 400, 184, 115, 4276, 383, 308, 3141, 1132, 595, 391, 4010, 3466, 341, 2279, 645, 33, 241, 281, 3751, 1519, 3847, 3985, 612, 2289, 594, 3462, 3976, 401, 507, 442, 369, 1197, 561, 5223]"
423,423,[]
424,424,"[253, 432]"
425,425,"[253, 1405, 201, 2341, 645, 432, 3867, 3102, 164, 3986, 137, 254, 594, 561, 2289, 630, 311]"
426,426,[]
427,427,[]
428,428,[]
429,429,"[535, 3849, 432, 526, 164, 4197, 375, 607, 402, 2312, 2269, 235, 373, 249, 179, 501, 208, 101, 418, 3276, 231, 322, 595, 202, 421, 622, 320, 244, 528, 4203, 207, 510, 313, 3277, 2290, 391, 507, 312, 241, 594, 3146, 3115, 3314, 288, 612, 2364]"
430,430,[]
431,431,[]
432,432,"[5185, 175, 2263, 534, 535, 858, 340, 845, 4666, 253, 647, 2422, 601, 640, 2332, 3995, 644, 346, 128, 3479, 256, 2284, 1097, 670, 801, 473, 526, 896, 342, 603, 1107, 2223, 91, 3531, 356, 267, 4296, 303, 607, 717, 71, 919, 687, 173, 378, 4272, 407, 174, 146, 3849, 2321, 5128, 2500, 596, 234, 1183, 3102, 328, 555, 3157, 411, 5304, 164, 2319, 1436, 2492, 679, 3482, 1405, 506, 245, 563, 402, 682, 519, 3468, 292, 5103, 4064, 476, 5285, 1084, 2280, 3986, 505, 4506, 3975, 1188, 201, 181, 242, 2302, 397, 798, 110, 4503, 4273, 6, 183, 2288, 4913, 2270, 2357, 2266, 3998, 260, 79, 255, 2275, 4053, 220, 420, 1195, 88, 3743, 5085, 80, 3494, 361, 3465, 1437, 2225, 69, 937, 316, 3984, 1095, 354, 27, 893, 653, 393, 3308, 257, 2318, 176, 2533, 2341, 590, 1410, 319, 271, 846, 321, 359, 250, 114, 1038, 3104, 646, 189, 3888, 2519, 153, 400, 917, 3974, 218, 115, 154, 869, 660, 678, 350, 3764, 2255, 373, 3845, 4200, 3882, 4052, 4912, 3318, 4060, 305, 364, 5301, 3275, 4017, 4276, 196, 239, 184, 302, 102, 4500, 2291, 4512, 2496, 500, 453, 485, 67, 2432, 668, 182, 690, 4021, 249, 2489, 2235, 262, 2566, 232, 501, 3758, 936, 709, 894, 367, 248, 237, 4277, 3492, 418, 545, 450, 266, 3117, 692, 2224, 3144, 208, 3971, 4271, 379, 3307, 493, 165, 4295, 898, 282, 106, 394, 5149, 3276, 4564, 2527, 935, 2269, 2271, 6176, 197, 2792, 3161, 1119, 906, 100, 101, 3964, 620, 2712, 1089, 2250, 231, 4267, 299, 48, 4202, 135, 3852, 252, 872, 210, 278, 235, 4213, 179, 94, 126, 2292, 323, 405, 3844, 478, 483, 3872, 273, 362, 258, 1210, 3141, 1034, 580, 2253, 368, 2548, 408, 4010, 645, 310, 3469, 318, 2322, 2227, 516, 654, 409, 509, 270, 3475, 685, 392, 602, 2778, 622, 404, 494, 465, 528, 1092, 539, 280, 3867, 831, 243, 320, 1031, 276, 2479, 264, 2248, 87, 2249, 46, 143, 3354, 461, 480, 2749, 871, 3855, 986, 879, 124, 395, 3316, 1011, 187, 62, 525, 2285, 615, 4742, 3466, 111, 1133, 4203, 631, 2228, 322, 3999, 4050, 626, 675, 2330, 2420, 202, 138, 217, 137, 616, 2219, 4899, 713, 5345, 424, 4185, 207, 240, 284, 880, 595, 4723, 639, 4499, 2327, 899, 2779, 33, 920, 421, 522, 492, 3317, 697, 43, 454, 3983, 222, 4270, 413, 2207, 4514, 2307, 556, 199, 425, 3323, 136, 2222, 484, 674, 11, 2286, 4024, 521, 3996, 2282, 2342, 683, 3481, 2521, 2217, 2334, 2484, 244, 676, 876, 510, 1434, 691, 347, 399, 2490, 459, 3472, 865, 2278, 226, 313, 178, 289, 2216, 417, 2582, 238, 2609, 406, 103, 1378, 3151, 1121, 2272, 308, 4058, 5038, 3980, 429, 251, 1645, 4005, 2349, 560, 1081, 254, 1443, 2279, 391, 371, 4964, 490, 2308, 241, 3988, 3846, 139, 4501, 416, 474, 693, 2265, 119, 4006, 433, 4394, 3277, 504, 5141, 3901, 2421, 2289, 326, 5228, 3105, 4403, 554, 1012, 507, 468, 281, 630, 363, 495, 92, 479, 2715, 594, 538, 591, 149, 191, 3108, 5093, 2438, 2254, 96, 4204, 212, 850, 89, 426, 121, 2290, 365, 2367, 3146, 86, 369, 673, 2211, 2251, 3278, 985, 2918, 344, 661, 311, 4207, 2010, 467, 3985, 4009, 3115, 4199, 3119, 312, 2541, 2299, 188, 104, 353, 2350, 1197, 586, 3751, 5082, 2481, 3972, 129, 95, 5140, 422, 2206, 3992, 140, 923, 612, 348, 4205, 317, 4091, 2277, 456, 1035, 2364, 561, 489, 642, 171, 4198, 325]"
433,433,"[2207, 507, 937, 1214, 244, 1197, 3975, 645, 612]"
434,434,"[413, 88, 3980, 115, 2279, 3311]"
435,435,[]
436,436,[437]
437,437,[436]
438,438,[]
439,439,[]
440,440,[248]
441,441,"[647, 2357, 101, 589, 3751, 4565, 88, 2292, 16, 129, 3986, 83, 2239, 3847, 1143, 132, 3865, 3462]"
442,442,"[607, 418]"
443,443,"[73, 2331, 88, 3502, 530]"
444,444,[]
445,445,[]
446,446,[]
447,447,[4500]
448,448,[]
449,449,[]
450,450,[253]
451,451,"[253, 2292, 3142, 88, 33, 3308, 308, 165, 391]"
452,452,[]
453,453,"[253, 2331, 262, 3488, 2308]"
454,454,"[253, 555, 4565, 543, 3984, 640, 328, 402, 88, 162, 670, 3158, 393, 3663, 2357, 4583, 3973, 587, 973, 3964, 2233, 34, 571, 4267, 574, 3311, 165, 3276, 2355, 4223, 4505, 3193, 483, 3469, 462, 33, 244, 2216, 13, 675, 413, 589, 417, 46, 569, 5198, 676, 309, 62, 3753, 2282, 1086, 3980, 308, 241, 3146, 560, 594, 3462, 2350, 391, 3277, 5093, 3278, 3142, 2279, 507, 2254, 3322, 3754]"
455,455,[]
456,456,"[858, 253, 2332, 342, 526, 340, 346, 303, 601, 670, 607, 5128, 3157, 402, 687, 3849, 328, 432, 234, 606, 4294, 4272, 3102, 164, 183, 255, 80, 2218, 3963, 193, 4503, 4913, 2357, 88, 653, 302, 3308, 646, 115, 690, 678, 2259, 249, 418, 282, 315, 208, 3307, 4277, 4271, 165, 3276, 367, 2224, 493, 235, 483, 197, 645, 3872, 2322, 231, 4213, 580, 3469, 270, 320, 62, 4203, 3867, 4399, 626, 5252, 276, 143, 33, 522, 589, 2216, 308, 222, 676, 417, 251, 454, 244, 429, 391, 2207, 2334, 2278, 3980, 2279, 76, 2289, 241, 4394, 507, 495, 594, 2265, 3277, 630, 479, 4408, 3108, 365, 3462, 3278, 3115, 426, 3864, 2367, 661, 121, 86, 2290, 3146, 586, 561, 129, 3754]"
457,457,[320]
458,458,[]
459,459,"[253, 3857, 879]"
460,460,[]
461,461,"[607, 3995, 555, 506, 328, 604, 253, 526, 3102, 164, 402, 183, 181, 2357, 3984, 432, 4197, 201, 225, 3308, 204, 302, 4190, 3318, 364, 4188, 115, 184, 249, 493, 179, 262, 4277, 379, 3276, 501, 3117, 3844, 3758, 208, 282, 3872, 211, 528, 3141, 280, 320, 2285, 3867, 143, 4203, 645, 404, 631, 322, 595, 3983, 676, 616, 510, 33, 454, 244, 691, 207, 522, 589, 2216, 308, 391, 4394, 507, 251, 2279, 2265, 3277, 630, 241, 2289, 4501, 3105, 3824, 495, 4204, 369, 3278, 2367, 3985, 594, 121, 86, 311, 3146, 3115, 104, 3113, 6988, 586, 561, 5082, 642, 612]"
462,462,"[253, 3308, 493, 3867, 2282, 2331, 197, 308, 88, 208, 2292, 2330, 241, 3158, 165, 454, 810, 419, 561, 3277, 3462, 594, 3985, 702]"
463,463,[607]
464,464,[]
465,465,"[253, 432, 2259, 645, 2266, 208, 3867, 400, 4267, 249, 244, 3462, 561, 2216, 2289, 86, 391, 594, 586]"
466,466,[]
467,467,"[253, 432, 88, 201, 2275, 1405, 3308, 249, 262, 3867, 501, 202, 589, 368, 645, 2421, 3462, 2289, 254, 594, 612, 2308, 3146, 2541]"
468,468,"[253, 153, 4277, 271, 638, 2254, 646]"
469,469,[]
470,470,[]
471,471,[]
472,472,"[249, 612]"
473,473,"[253, 432, 359, 643, 248, 183, 196, 3872, 607, 3974, 249, 645, 402, 115, 501, 654, 507, 539, 630, 4203, 308]"
474,474,"[253, 2367, 586, 645, 207, 612, 2289, 312, 3992, 432, 447]"
475,475,[]
476,476,"[253, 2289, 612]"
477,477,"[253, 4083, 793, 645, 785, 526, 282, 870, 2309, 682, 676, 495, 432, 3318, 3872, 510]"
478,478,"[249, 2289, 262, 3146, 432, 501, 3867, 244]"
479,479,"[402, 88, 250, 607, 432, 3103, 83, 253, 3102, 2482, 3308, 3311, 506, 590, 3763, 285, 690, 367, 101, 276, 3464, 680, 544, 320, 1187, 249, 165, 3141, 4188, 1104, 120, 645, 187, 413, 391, 2289, 616, 691, 2589, 16, 594, 207, 2308, 4717, 212, 713, 308, 330, 311, 456, 561, 451]"
480,480,"[432, 4295, 244, 589]"
481,481,[]
482,482,[]
483,483,[454]
484,484,"[253, 2289, 2292, 432, 680, 391]"
485,485,[253]
486,486,[4268]
487,487,[]
488,488,[432]
489,489,"[253, 3102, 88, 645, 164, 432, 646, 2289, 561, 630, 311, 322, 308, 495, 202, 2308, 594, 612]"
490,490,[]
491,491,[]
492,492,[]
493,493,"[2263, 640, 356, 432, 3995, 607, 253, 670, 5128, 164, 3157, 402, 201, 110, 3308, 88, 3273, 183, 80, 115, 2357, 3984, 4583, 646, 3311, 208, 3964, 249, 165, 3276, 262, 4505, 197, 1080, 248, 101, 179, 2292, 645, 276, 3872, 46, 462, 4742, 622, 461, 3867, 631, 3999, 454, 589, 308, 322, 595, 4270, 33, 2216, 202, 244, 309, 391, 3988, 2289, 512, 594, 241, 16, 495, 507, 2265, 326, 630, 3146, 129, 456, 3462, 3985, 422, 561, 86, 2274, 612, 3754]"
494,494,"[677, 2287, 507, 402, 278, 322, 2289]"
495,495,"[535, 858, 5128, 670, 3849, 432, 253, 164, 2302, 2357, 260, 505, 4053, 220, 201, 2288, 255, 88, 321, 400, 4500, 3984, 196, 680, 115, 262, 165, 3276, 101, 208, 493, 3964, 179, 4271, 197, 580, 2224, 4010, 645, 461, 4270, 244, 2322, 240, 2207, 409, 631, 421, 199, 347, 3867, 675, 33, 3323, 2278, 2216, 2279, 3277, 2289, 212, 254, 630, 594, 3146, 391, 523, 3462, 2367, 311, 489, 86, 3278, 586]"
496,496,[]
497,497,[]
498,498,[]
499,499,[]
500,500,[]
501,501,[]
502,502,[495]
503,503,[]
504,504,"[289, 432]"
505,505,"[432, 197, 253, 164, 201, 4200, 645, 1405, 88, 262, 202, 2289, 630, 589, 495, 561, 390]"
506,506,[612]
507,507,"[3995, 3157, 220, 670, 4702, 183, 88, 5128, 402, 2357, 400, 115, 3318, 660, 4762, 500, 249, 262, 282, 2224, 645, 165, 3276, 2322, 4277, 3469, 675, 595, 5221, 320, 284, 270, 528, 207, 522, 697, 4270, 287, 510, 222, 413, 674, 2282, 2305, 244, 2216, 676, 560, 630, 308, 2265, 2289, 594, 251, 2279, 433, 3966, 254, 92, 121, 86, 586, 2206, 3146, 5082, 3462, 2274, 3751, 2367, 612]"
508,508,"[128, 3311, 692, 355, 2050, 282, 264, 281, 88, 231, 308, 442, 690, 3872, 251, 212, 3146, 352]"
509,509,"[253, 432, 2533, 262, 179, 208, 368, 201, 359, 645, 555, 3867, 3146, 217, 241, 2289, 244, 594]"
510,510,"[244, 507, 201, 595, 3110, 2289, 612, 432, 2207, 3105]"
511,511,[3311]
512,512,"[3160, 91, 328, 402, 2357, 5185, 303, 3482, 432, 88, 640, 4487, 292, 597, 44, 4011, 4565, 3319, 27, 291, 646, 4426, 3962, 249, 393, 400, 3311, 2331, 709, 3308, 384, 1026, 302, 571, 83, 115, 3761, 1187, 208, 165, 101, 2239, 852, 493, 3964, 2355, 3141, 3469, 282, 231, 544, 574, 270, 483, 4763, 3867, 207, 3497, 413, 676, 46, 3865, 3983, 5198, 5318, 62, 33, 2222, 390, 522, 454, 589, 865, 429, 391, 1261, 3277, 2216, 3155, 2279, 834, 16, 308, 4042, 241, 32, 309, 560, 1287, 2265, 507, 281, 5093, 3146, 3278, 3113, 426, 3462, 3463, 586, 2295, 86, 2274, 3751, 594, 121, 673, 460, 3754]"
513,513,"[1111, 3308, 587, 1290, 2274, 4565, 83, 2239, 33, 3508, 88, 4223, 3790, 589, 634, 1534, 386, 594]"
514,514,[]
515,515,[]
516,516,"[3995, 589, 115, 2289, 3867]"
517,517,[]
518,518,[]
519,519,[253]
520,520,"[607, 208, 101]"
521,521,"[253, 645, 187, 249]"
522,522,"[607, 253, 3157, 402, 432, 421, 2289, 507, 3146, 612, 391]"
523,523,"[690, 495, 367, 244, 3108, 3273, 288]"
524,524,[]
